sector_score,para_a,para_b,total,numbers,money_value,district,loss,history,risk
55.57,3.1,4.66,7.76,5.0,0.59,2,0,0,1
59.85,0.0,0.0,0.0,5.0,1.2,2,1,0,1
1.85,3.26,0.36,3.62,5.0,0.02,2,0,0,1
3.41,12.28,20.62,32.9,5.0,10.16,2,0,1,1
2.72,4.97,42.19,47.16,5.5,45.37,2,0,0,1
3.89,0.0,63.13,63.13,5.0,14.6,2,0,1,1
55.57,0.98,0.0,0.98,5.0,0.0,2,0,0,0
2.37,2.6,1.14,3.74,5.0,8.76,2,0,1,1
3.89,1.0,0.0,1.0,5.0,0.36,2,0,0,1
1.85,0.99,0.0,0.99,5.0,0.0,4,0,0,1
3.41,12.62,80.06,92.68,5.5,43.53,4,0,0,1
55.57,0.49,0.4,0.89,5.0,0.0,2,0,0,0
1.85,2.46,0.37,2.83,5.0,0.0,2,0,0,1
1.85,9.14,1.22,10.36,5.0,0.0,6,0,0,1
1.85,7.22,0.28,7.5,5.0,0.0,2,0,0,1
55.57,2.54,5.52,8.06,5.0,0.49,2,0,0,1
3.89,0.0,1.1,1.1,5.0,0.0,6,0,0,1
55.57,0.74,0.0,0.74,5.0,0.71,2,0,0,0
1.85,3.74,0.55,4.29,5.0,0.0,2,0,0,1
55.57,0.4,0.0025,0.4025,5.0,0.0,2,0,0,0
2.72,1.56,14.64,16.2,5.0,25.97,2,0,0,1
3.89,0.0,2.97,2.97,5.0,2.84,2,0,0,0
59.85,0.39,0.39,0.78,5.0,0.17,4,0,0,1
21.61,0.56,0.63,1.19,5.0,0.09,2,0,0,0
21.61,3.14,5.68,8.82,5.5,11.33,4,0,0,1
2.72,3.62,8.37,11.99,5.0,0.0,2,0,0,1
1.99,0.3,0.0,0.3,5.0,0.0,2,0,0,0
2.72,6.02,135.69,141.71,6.0,89.64,4,0,0,1
2.72,0.0,0.0,0.0,5.0,0.0,2,0,0,0
2.37,0.0,0.0,0.0,5.0,0.0,2,0,0,0
55.57,0.0,0.81,0.81,5.0,0.0,2,0,0,0
2.37,2.21,5.21,7.42,5.0,3.43,2,0,0,1
59.85,0.0,0.0,0.0,5.0,1.44,2,0,0,0
21.61,0.85,0.93,1.78,5.0,0.0,2,0,0,0
55.57,0.47,0.46,0.93,5.0,0.42,2,0,0,0
2.37,0.31,0.69,1.0,5.0,0.0,2,0,0,0
55.57,0.27,0.0017,0.2717,5.0,0.0,2,0,0,0
3.41,6.31,19.42,25.73,5.5,13.88,2,0,0,1
3.41,6.61,55.62,62.23,5.0,57.16,2,1,0,1
3.89,7.97,17.18,25.15,5.0,935.03,2,0,0,1
1.85,1.08,1.98,3.06,5.0,3.92,2,0,0,1
3.89,5.78,57.92,63.7,5.0,11.16,2,0,0,1
55.57,0.0,0.0,0.0,5.0,0.0,2,0,0,0
1.99,0.77,0.0,0.77,5.0,0.0,4,0,0,1
1.85,7.84,2.81,10.65,5.0,0.0,2,1,0,1
2.37,3.29,6.41,9.7,5.0,3.66,2,0,0,1
1.99,0.55,0.0,0.55,5.0,0.67,2,0,0,0
2.72,5.45,71.09,76.54,5.5,59.18,2,0,0,1
3.89,0.0,2.27,2.27,5.0,2.62,2,0,0,0
3.89,0.0,2.72,2.72,5.0,5.58,6,0,0,1
2.72,1.14,0.0,1.14,5.0,0.71,2,0,0,1
55.57,0.0,0.0,0.0,5.0,0.0,2,0,0,0
59.85,0.01,0.11,0.12,5.0,1.03,2,0,0,0
1.85,2.48,0.0,2.48,5.0,0.0,2,0,0,1
1.85,2.81,0.41,3.22,5.0,0.0,2,0,0,1
3.89,0.0,0.75,0.75,5.0,6.78,2,0,0,1
55.57,1.48,4.48,5.96,5.0,0.0,2,0,0,1
59.85,0.07,0.0,0.07,5.0,10.4,2,0,0,1
1.85,0.88,1.5,2.38,5.0,0.19,2,0,0,1
3.89,6.47,12.18,18.65,5.0,25.27,6,0,0,1
59.85,0.03,0.0,0.03,5.0,1.55,2,0,0,0
21.61,0.84,1.09,1.93,5.0,0.0,2,0,0,1
21.61,0.88,1.07,1.95,5.0,0.76,2,0,0,1
55.57,0.74,0.0,0.74,5.0,0.15,2,0,0,0
55.57,1.7,5.91,7.61,5.0,3.68,4,0,0,1
1.85,7.02,1.77,8.79,5.0,0.0,4,0,0,1
55.57,0.74,0.0,0.74,5.0,2.4,2,0,0,0
55.57,0.0,0.0,0.0,5.0,0.0,2,0,0,0
55.57,0.29,0.39,0.68,5.5,0.05,2,0,0,1
2.37,1.63,5.86,7.49,5.0,3.69,2,0,0,1
2.37,2.29,2.64,4.93,5.0,3.08,2,0,0,1
3.89,9.01,19.82,28.83,5.0,9.67,2,0,0,1
3.41,15.66,74.53,90.19,5.0,29.07,2,0,0,1
3.89,1.22,0.06,1.28,5.0,0.0,4,0,0,1
1.85,4.6,1.17,5.77,5.0,0.04,2,0,0,1
1.99,1.62,0.0,1.62,5.0,0.0,6,0,0,1
55.57,0.0,11.68,11.68,5.0,0.0,2,0,0,1
21.61,0.67,0.76,1.43,5.0,0.0,2,0,0,0
55.57,0.0,0.0,0.0,5.0,0.0,2,0,0,0
2.72,2.19,0.68,2.87,5.0,28.4,2,0,0,1
1.85,3.7,0.0,3.7,5.0,0.12,2,0,0,1
2.72,3.84,144.39,148.23,5.0,19.68,2,1,1,1
21.61,0.54,0.56,1.1,5.0,0.8,2,0,0,0
55.57,0.0,0.0,0.0,5.5,85.05,6,0,0,1
3.89,0.0,7.37,7.37,5.0,0.74,2,0,0,1
1.85,10.02,0.95,10.97,5.0,0.43,2,0,0,1
2.72,2.81,4.6,7.41,5.0,8.44,2,0,0,1
3.89,0.74,1.0,1.74,5.0,0.0,2,0,0,0
55.57,0.0,8.49,8.49,5.0,0.43,2,0,0,1
2.37,0.39,0.47,0.86,5.0,0.0,2,0,0,0
3.89,0.0,0.43,0.43,5.0,0.0,2,0,0,0
2.37,2.39,7.72,10.11,5.0,5.42,2,0,1,1
1.99,1.56,0.0,1.56,5.0,0.1,2,0,0,1
3.41,0.93,0.0,0.93,5.0,0.0,2,0,0,0
55.57,0.32,0.17,0.49,5.0,0.0,2,0,0,0
55.57,1.39,0.0,1.39,5.0,0.0,2,0,0,1
1.85,0.17,0.11,0.28,5.0,0.0,2,0,0,0
3.41,10.0,47.9,57.9,5.0,7.7,2,0,0,1
21.61,0.34,0.36,0.7,5.0,0.03,2,0,0,0
59.85,0.04,0.0,0.04,5.0,0.22,2,0,0,0
3.89,0.0,1.03,1.03,5.0,2.43,2,0,0,0
3.41,1.12,0.0,1.12,5.0,0.0,2,0,0,1
3.89,0.0,6.8,6.8,5.0,47.9,2,0,0,1
55.57,0.0,0.0,0.0,5.0,0.0,6,0,0,1
55.57,1.26,0.0,1.26,5.0,0.0,2,0,0,1
3.89,1.09,0.35,1.44,5.0,0.0,2,0,0,1
3.41,4.25,45.51,49.76,5.5,8.2,2,0,0,1
2.72,5.61,99.33,104.94,6.5,76.47,2,0,0,1
3.41,11.73,85.87,97.6,5.0,6.96,2,0,1,1
2.72,5.11,53.76,58.87,6.0,48.56,2,0,2,1
2.37,2.59,0.66,3.25,5.0,1.28,2,0,0,1
3.89,0.0,0.05,0.05,5.0,0.0,2,0,0,0
3.89,0.0,0.94,0.94,5.0,0.9,2,0,0,0
1.99,0.85,0.0,0.85,5.0,0.0,2,0,0,0
3.41,8.03,94.43,102.46,5.5,10.65,2,0,2,1
2.72,2.84,64.91,67.75,5.5,124.59,4,0,0,1
3.41,12.17,47.0,59.17,6.0,10.14,2,0,0,1
3.89,0.0,0.03,0.03,5.0,0.06,2,0,0,0
55.57,1.45,5.79,7.24,5.0,0.69,2,0,0,1
2.72,0.0,0.0,0.0,5.0,0.0,4,0,0,1
3.89,8.81,9.02,17.83,5.0,215.31,2,0,1,1
55.57,0.0,3.3,3.3,5.0,0.0,2,0,0,1
55.57,0.0006,1.11,1.1106,5.0,0.0,6,0,0,1
1.85,0.99,0.11,1.1,5.0,0.0,6,0,0,1
1.85,0.18,0.0,0.18,5.0,0.0,6,1,0,1
1.85,5.13,0.09,5.22,5.0,0.01,2,0,0,1
2.72,0.0,0.0,0.0,5.0,0.0,2,0,0,0
3.89,0.62,2.02,2.64,5.0,0.11,2,0,0,0
1.85,3.67,0.18,3.85,5.0,0.0,2,0,0,1
1.85,1.75,0.0,1.75,5.0,0.35,6,0,0,1
1.85,8.25,1.59,9.84,5.0,0.02,2,0,0,1
55.57,0.0,0.0,0.0,5.0,0.0,2,0,0,0
2.72,1.34,0.0,1.34,5.0,0.0,4,0,0,1
2.37,2.1,5.06,7.16,5.0,5.41,2,0,0,1
21.61,0.29,0.33,0.62,5.0,0.0,2,0,0,0
3.89,4.18,4.83,9.01,5.5,14.03,2,0,0,1
1.99,0.96,0.0,0.96,5.0,9.45,2,0,0,1
1.85,5.0,0.54,5.54,5.0,0.0,2,0,0,1
55.57,0.7,0.0,0.7,5.0,0.0,2,0,0,0
2.34,3.95,0.0,0.0,5.5,83.96,6,0,1,1
1.85,11.44,1.41,12.85,5.0,0.04,2,0,0,1
2.72,0.0,0.62,0.62,5.0,0.0,2,0,0,0
55.57,0.84,0.0,0.84,5.0,0.0,4,0,0,1
21.61,0.7,0.72,1.42,5.0,0.0,2,0,0,0
3.89,2.57,4.49,7.06,5.0,7.56,2,0,1,1
3.41,1.21,43.84,45.05,5.5,31.61,2,0,0,1
1.85,10.79,0.67,11.46,5.0,0.04,2,0,0,1
2.72,3.26,2.81,6.07,6.0,21.6,4,0,0,1
3.89,0.0,1.02,1.02,5.0,0.0,2,0,0,0
3.89,0.0,0.06,0.06,5.0,0.0,2,0,0,0
3.41,1.97,30.25,32.22,5.0,0.68,2,0,0,1
3.89,1.26,0.05,1.31,5.0,0.0,2,0,0,1
55.57,1.06,0.0,1.06,5.0,0.0,2,0,0,1
3.89,6.85,65.93,72.78,5.5,6.02,4,0,0,1
55.57,0.17,0.0,0.17,5.0,0.0,2,0,0,0
2.37,0.32,0.49,0.81,5.0,6.73,6,0,0,1
1.85,0.0,0.0,0.0,5.0,0.2,4,0,0,1
1.99,57.03,134.33,191.36,5.0,844.37,2,0,0,1
3.41,12.29,25.74,38.03,5.0,22.1,2,1,0,1
3.89,0.0,1.88,1.88,5.0,0.0,2,0,0,0
1.85,0.73,1.24,1.97,5.0,0.2,2,0,0,1
1.99,0.48,0.0,0.48,5.0,0.47,2,0,0,0
3.89,71.48,25.63,97.11,5.0,873.37,2,0,0,1
1.85,0.6,1.14,1.74,5.0,0.43,2,0,0,1
3.89,0.0,1.76,1.76,5.0,1.08,2,0,0,0
2.72,1.73,5.64,7.37,5.0,13.35,2,0,0,1
2.72,3.22,55.64,58.86,5.0,80.8,2,1,0,1
1.85,1.28,1.75,3.03,5.0,0.0,2,0,0,1
55.57,0.76,0.0,0.76,5.0,0.0,2,0,0,0
55.57,0.0,0.0,0.0,5.0,0.0,2,0,0,0
55.57,0.23,0.0,0.23,5.0,0.0,2,0,0,0
2.72,4.6,54.99,59.59,5.0,14.1,2,0,0,1
3.89,0.0,0.85,0.85,5.0,0.0,4,0,0,1
3.89,6.26,14.1,20.36,5.0,34.24,2,0,1,1
2.37,1.54,0.46,2.0,5.0,0.57,2,0,0,1
1.85,0.18,0.63,0.81,5.0,0.0,2,0,0,0
1.85,7.37,1.64,9.01,5.0,0.08,2,0,0,1
2.72,1.51,0.0,1.51,5.0,0.0,2,0,0,1
1.99,0.0,0.0,0.0,5.0,0.0,2,0,0,0
55.57,0.0,1.3,1.3,5.0,0.0,2,0,0,1
3.41,1.08,32.71,33.79,5.0,8.38,2,0,0,1
55.57,1.59,0.13,1.72,5.0,0.11,2,0,0,1
2.72,4.36,33.91,38.27,5.5,6.06,6,1,0,1
1.99,1.27,0.0,1.27,5.0,175.9,2,0,0,1
15.56,3.73,2.82,6.55,6.0,160.41,6,0,0,1
2.72,1.75,0.57,2.32,5.0,0.0,4,0,0,1
55.57,0.38,0.49,0.87,5.0,0.0,2,0,0,0
55.57,0.28,0.25,0.53,5.0,0.0,2,0,0,0
1.99,0.0,0.0,0.0,5.0,0.0,2,0,0,0
1.99,0.66,0.0,0.66,5.0,0.73,2,0,0,0
55.57,0.0,0.0,0.0,5.0,0.0,2,0,0,0
2.37,2.22,3.4,5.62,5.0,26.28,2,0,1,1
55.57,0.82,0.0,0.82,5.0,0.0,2,0,0,0
55.57,0.0,0.0,0.0,5.0,0.0,4,0,0,1
59.85,0.05,0.0,0.05,5.0,0.63,2,0,0,0
2.72,2.41,5.28,7.69,5.0,8.95,4,0,0,1
3.89,5.43,10.77,16.2,5.0,4.42,2,0,0,1
3.89,0.77,18.31,19.08,5.0,67.03,2,0,0,1
55.57,0.0,0.0,0.0,5.0,0.0,2,0,0,0
1.99,0.43,0.0,0.43,5.0,13.54,2,0,0,1
1.99,0.44,0.0,0.44,5.0,0.04,4,0,0,1
55.57,0.51,0.03,0.54,5.0,0.0,2,0,0,0
55.57,0.0,1.16,1.16,5.0,0.0,2,0,0,1
55.57,2.41,4.69,7.1,5.0,0.25,2,0,0,1
3.89,0.0,15.38,15.38,5.0,126.13,2,0,0,1
55.57,0.62,0.42,1.04,5.0,0.0,2,0,0,0
3.89,0.0,0.93,0.93,5.0,7.78,2,0,0,1
2.72,2.23,4.54,6.77,5.0,22.8,6,0,0,1
1.85,0.0,0.0,0.0,5.0,0.0,6,0,0,1
55.57,0.68,0.0,0.68,5.0,0.0,4,0,0,1
1.85,3.05,0.05,3.1,5.0,0.0,2,0,0,1
2.37,0.47,0.29,0.76,5.0,0.07,2,0,0,0
3.89,0.0,0.79,0.79,5.0,15.82,2,0,0,1
2.37,0.5,0.04,0.54,5.0,0.0,6,0,0,1
55.57,0.9,1.11,2.01,5.0,0.0,2,0,0,1
55.57,0.71,0.25,0.96,5.0,0.0,2,0,0,0
55.57,0.49,0.0,0.49,5.0,0.0,2,0,0,0
55.57,0.88,0.54,1.42,5.0,0.11,2,0,0,0
55.57,0.8,0.0,0.8,5.0,0.0,2,0,0,0
2.37,0.96,0.12,1.08,5.0,0.22,2,0,0,0
3.41,1.64,46.21,47.85,5.0,2.45,2,0,0,1
3.89,1.99,10.24,12.23,5.0,20.78,2,0,0,1
2.37,0.9,0.29,1.19,5.0,1.22,6,0,0,1
55.57,1.08,0.92,2.0,5.0,0.04,2,0,0,1
55.57,0.79,0.46,1.25,5.0,0.28,2,0,0,0
59.85,0.03,0.0,0.03,5.0,1.22,2,0,0,0
3.41,4.01,0.0,4.01,5.0,0.0,2,0,0,1
55.57,0.51,0.37,0.88,5.0,0.0,2,0,0,0
55.57,0.0,0.0,0.0,5.0,0.02,2,0,0,0
1.99,1.46,0.0,1.46,5.0,0.0,2,0,0,1
1.85,1.16,0.0,1.16,5.0,0.11,6,0,0,1
3.89,0.0,0.87,0.87,5.0,0.0,2,0,0,0
3.41,6.93,70.26,77.19,5.0,9.73,2,0,0,1
1.85,5.2,0.0,5.2,5.0,0.0,2,0,0,1
1.99,0.45,0.0,0.45,5.0,0.0,2,0,0,0
1.85,45.23,36.18,81.41,5.0,0.0,6,0,0,1
55.57,0.92,0.0,0.92,5.0,0.0,2,0,0,0
21.61,0.38,0.48,0.86,5.0,0.33,2,0,0,0
1.85,3.31,0.17,3.48,5.0,0.0,2,0,0,1
55.57,0.87,0.0,0.87,5.0,0.1,2,0,0,0
3.89,0.42,0.07,0.49,5.0,0.42,2,0,0,0
3.41,3.08,60.78,63.86,5.0,0.36,2,0,0,1
3.41,9.97,88.73,98.7,5.0,10.27,2,0,0,1
2.37,0.0,0.0,0.0,5.0,0.23,6,0,0,1
55.57,0.25,0.0017,0.2517,5.0,0.0,2,0,0,0
55.57,0.5,2.97,3.47,5.0,0.18,2,0,0,1
3.41,1.44,29.25,30.69,5.0,35.13,2,0,0,1
1.85,5.9,0.0,5.9,5.0,0.74,6,1,0,1
55.57,0.31,0.0015,0.3115,5.0,0.0,2,0,0,0
55.57,0.0,1.96,1.96,5.0,0.4,2,0,0,1
55.57,1.6,0.49,2.09,5.0,88.34,2,0,0,1
1.85,0.6,1.08,1.68,5.0,0.33,2,0,0,1
55.57,1.09,0.0,1.09,5.0,0.0,2,0,0,1
55.57,2.42,3.53,5.95,5.0,6.31,2,0,0,1
1.85,0.65,0.03,0.68,5.0,0.14,2,0,0,0
2.37,0.51,0.47,0.98,5.0,0.0,2,0,0,0
55.57,0.2,0.0,0.2,5.0,0.0,2,0,0,0
55.57,0.29,0.0,0.29,5.0,0.0,4,0,0,1
59.85,0.48,0.0,0.48,5.0,0.0,2,0,0,0
55.57,0.39,0.91,1.3,5.0,0.0,2,0,0,0
2.72,7.43,79.5,86.93,5.0,102.39,2,0,0,1
3.89,0.0,0.08,0.08,5.0,0.06,6,0,0,1
3.41,0.91,0.0,0.91,5.0,0.0,2,0,0,0
2.72,1.13,0.0,1.13,5.0,0.02,2,0,0,1
59.85,0.3,0.0,0.3,5.0,0.0,2,0,0,0
2.37,2.51,8.59,11.1,5.5,16.03,2,0,5,1
21.61,0.32,0.0,0.32,5.0,0.0,2,0,0,0
2.34,0.0,0.0,0.0,5.0,0.0,2,0,0,0
55.57,1.63,0.0,1.63,5.0,0.0,2,0,0,1
59.85,0.21,0.0,0.21,5.0,0.33,4,0,0,1
